OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Load,Import,Price,Node
5/7/2018,7,5,2,11,3.07,1635.54,24994.47,6280,17.20783,TH_ZP26
5/7/2018,7,5,2,12,3.07,1651.41,25498.89,6286,19.81846,TH_ZP26
5/7/2018,7,5,2,13,3.07,1654.66,25972.92,6135,19.83273,TH_ZP26
5/7/2018,7,5,2,14,3.07,1653.6,26730.32,6398,19.5445,TH_ZP26
5/7/2018,7,5,2,15,3.07,1649.73,27595.96,6253,20.46277,TH_ZP26
5/7/2018,7,5,2,16,3.07,1633.1,28153.36,6392,20.42656,TH_ZP26
5/7/2018,7,5,2,17,3.07,1470.64,28773.88,6644,24.51897,TH_ZP26
5/7/2018,7,5,2,18,3.07,1152.74,29042.68,7362.2,28.13402,TH_ZP26
5/7/2018,7,5,2,19,3.07,550.63,29082.76,8147.82,39.87812,TH_ZP26
5/7/2018,7,5,2,20,3.07,49.81,29134.72,8672,58.51947,TH_ZP26
5/7/2018,7,5,2,21,3.07,0,29429.22,8964,72.06949,TH_ZP26
5/7/2018,7,5,2,22,3.07,0,28152.87,8889.8,44.52132,TH_ZP26
5/7/2018,7,5,2,23,3.07,0,25386.02,8632.4,28.00692,TH_ZP26
5/7/2018,7,5,2,24,3.07,0,23143.55,8665,25.16368,TH_ZP26
5/8/2018,8,5,3,1,3.2,0,21417.21,8403,20.11274,TH_ZP26
5/8/2018,8,5,3,2,3.2,0,20651.23,8394,15.84768,TH_ZP26
5/8/2018,8,5,3,3,3.2,0,19987.42,8371,11.95245,TH_ZP26
5/8/2018,8,5,3,4,3.2,0,19751.35,8279,10.72066,TH_ZP26
5/8/2018,8,5,3,5,3.2,0,19750.52,8399,14.12871,TH_ZP26
5/8/2018,8,5,3,6,3.2,0,20946.18,8874.6,26.78,TH_ZP26
5/8/2018,8,5,3,7,3.2,101.69,22698.93,9437,36.11145,TH_ZP26
5/8/2018,8,5,3,8,3.2,657.51,23992.75,7635.54,26.84509,TH_ZP26
5/8/2018,8,5,3,9,3.2,1214.52,24592.94,6251,19.87524,TH_ZP26
5/8/2018,8,5,3,10,3.2,1454.43,24752.84,5738,18.43956,TH_ZP26
5/8/2018,8,5,3,11,3.2,1595.06,25345.25,5761,19.99807,TH_ZP26
5/8/2018,8,5,3,12,3.2,1617.47,25899.94,5717,19.53199,TH_ZP26
5/8/2018,8,5,3,13,3.2,1588.98,26371.89,6007,19.66222,TH_ZP26
5/8/2018,8,5,3,14,3.2,1548.49,27314.09,6095,21.3,TH_ZP26
5/8/2018,8,5,3,15,3.2,1513.21,28396.24,6109,21.49395,TH_ZP26
5/8/2018,8,5,3,16,3.2,1411.24,28909.45,6112,23.6513,TH_ZP26
5/8/2018,8,5,3,17,3.2,1206.33,29473.41,6846,25.71412,TH_ZP26
5/8/2018,8,5,3,18,3.2,914.73,29538.03,8132,29.45612,TH_ZP26
5/8/2018,8,5,3,19,3.2,413.96,29309.43,8583.4,41.68384,TH_ZP26
5/8/2018,8,5,3,20,3.2,34.46,29191.26,8990,49.87607,TH_ZP26
5/8/2018,8,5,3,21,3.2,0,29419.33,9250.75,58.45861,TH_ZP26
5/8/2018,8,5,3,22,3.2,0,28155.26,9055.84,43.0247,TH_ZP26
5/8/2018,8,5,3,23,3.2,0,25734.98,8747.95,29.58944,TH_ZP26
5/8/2018,8,5,3,24,3.2,0,23343.78,8546,25.58795,TH_ZP26
5/9/2018,9,5,4,1,3.16,0,21630.77,7863,17.43711,TH_ZP26
5/9/2018,9,5,4,2,3.16,0,20565.9,7833,9,TH_ZP26
5/9/2018,9,5,4,3,3.16,0,19889,7442,10.71404,TH_ZP26
5/9/2018,9,5,4,4,3.16,0,19689.52,7606,11.6455,TH_ZP26
5/9/2018,9,5,4,5,3.16,0,19931.07,7910,14.12384,TH_ZP26
5/9/2018,9,5,4,6,3.16,0,21004.73,8318.6,27.96124,TH_ZP26
5/9/2018,9,5,4,7,3.16,112.61,22815.56,8781,36.18,TH_ZP26
5/9/2018,9,5,4,8,3.16,688.74,24092.15,7944,21.16639,TH_ZP26
5/9/2018,9,5,4,9,3.16,1223.62,24798.93,6839,11.62832,TH_ZP26
5/9/2018,9,5,4,10,3.16,1467.41,25428.13,6738,8.94164,TH_ZP26
5/9/2018,9,5,4,11,3.16,1616.88,26020.83,6611,8.82148,TH_ZP26
5/9/2018,9,5,4,12,3.16,1644.18,26685.07,6600,10.92042,TH_ZP26
5/9/2018,9,5,4,13,3.16,1649.15,27118.79,6717,13.01,TH_ZP26
5/9/2018,9,5,4,14,3.16,1648.88,27867.21,6746,12.60768,TH_ZP26
5/9/2018,9,5,4,15,3.16,1648.39,28497.57,6844.31,13.57863,TH_ZP26
5/9/2018,9,5,4,16,3.16,1594.95,28991.3,6845.07,14,TH_ZP26
5/9/2018,9,5,4,17,3.16,1450.91,29285.62,7571,15.92241,TH_ZP26
5/9/2018,9,5,4,18,3.16,1177.66,29403.83,7507,22.47761,TH_ZP26
5/9/2018,9,5,4,19,3.16,570.67,29432.69,8066.21,38.2904,TH_ZP26
5/9/2018,9,5,4,20,3.16,64.11,29234.01,8374.14,48.48794,TH_ZP26
5/9/2018,9,5,4,21,3.16,0,29416.68,8735.6,55.12893,TH_ZP26
5/9/2018,9,5,4,22,3.16,0,28297.6,8760.42,38.58844,TH_ZP26
5/9/2018,9,5,4,23,3.16,0,25468.87,8840,29.90252,TH_ZP26
5/9/2018,9,5,4,24,3.16,0,23285.3,8709,22.73731,TH_ZP26
5/10/2018,10,5,5,1,3.12,0,21647.14,8294,18.55667,TH_ZP26
5/10/2018,10,5,5,2,3.12,0,20646.17,8279,14.60755,TH_ZP26
